username,name,location,user_id
MarketsCafe,Market’s Cafe,India,1263898793012916224
AntiPanikMacher,Chris,,2364159092
ladh,DH les Sports +,Brussels,14715075
Mikeheadhoncho,Mike HONCHO,Estados Unidos,933087078090338304
mychinapress,马来西亚中国报,"Malaysia, Kuala Lumpur",82299136
Eagleeye47,🌴 Eagle Eye 🌴,,78830113
conelus,Conelus Hrvatska,Doesburg,342650877
hyonschu,Hyon S Chu,"San Francisco, CA",262555151
brianbt16,Trailer park operator,,1230939928625733633
Himansh69895067,Himanshu Dubey,,753957013797740544
Rao_________,Rao,,1393153814174203907
TheLoveDoctor39,LoveDoctor,,1352430330104451074
SrijeetHota,Srijeet Hota,"Orissa, India",1465910515222208517
summarizedml,SummarizedML,,1379356298714742784
TIME,TIME,,14293310
LRZinas,Latvijas Radio Ziņas,Latvia,56960362
Xpress_edex,Edex,Chennai,728025157
RahulSi90707588,Rahul,"Kanpur, India",1158459749890834432
Midilibre,Midi Libre,"Languedoc-Roussillon, France",33887820
bembelly,BΞMBΞLLY,,28666886
ilmessaggeroit,Il Messaggero,Roma,36079217
Jav51300507,Jav,,1420247527127846913
MuzokaStanford,Masosohori,"Saldanha, South Africa",1093773069301227520
cyandow,Chris Yandow,,52342387
Real_Rajesh97,Dr. Kumar Rajesh Chaudhary,"Bodhgaya, India",1033315215662899200
srbija_eu,Srbija Evropa,Иной мир. Drugi svet.,803686502014316544
dr_beem,beem,,1231408440355897344
salvadorpayan,Salvador Payán,"Sevilla, España",982702840408870912
happysekhar,human,,764487027563696128
RTLnieuws,RTL Nieuws,Nederland,20968385
marc2000galaxy,Marc,,1283709776455753729
Joeykujp,🖤Joeyku🖤,"Pärnu, Eesti",1121178672218759168
GeorgoanABC,GiorgioArmani,"Bruselas, Bélgica",1015689147149963264
truth_paula,Paula-Pathfinder For TRUTH,,1451581980584431617
FAOAsiaPacific,FAO Asia Pacific,FAO Regional Office for Asia a,2446436852
TichZindoga,𝕋𝕚𝕔𝕙𝕒𝕠𝕟𝕒 ℤ𝕚𝕟𝕕𝕠𝕘𝕒,Harare,2248520776
pranavrsspatel,Pranav Patel,"Guyarat, India",593415901
BrianSpuy,Brian van der Spuy,South Africa,1305753213438656513
jnq666,Jay,"Seattle, Washington",2484834037
Stacey_Barnes84,Stacey Barnes,"Johannesburg, South Africa",1429161410714652672
kglarson,klarson,"Oregón, USA",83390556
Schule10i,S¹⁰🏖,🐐,1439958769958481934
shehzadyounis,Shehzad Younis,Thinkstan,30701862
eireannachros,🇨🇦 ❄WinterIsComing❄ ⌛😷 💉💉,"Kelowna, British Columbia",961520820
oaxacahoy,OAXACAHOY,"Oaxaca, Mex.",171991828
daiwa_jp,”大和証券”ツイッター,東京都千代田区丸の内,133159234
Marplesmarbles,Marplesmarbles,In the Dear Green Place,64450084
caraleejasmin,CJC,,2838435968
josephappIegate,joseph applegate,habitat,1172935107986055168
Toddybrandon15,ToddyBrandon15,"Bloomingdale, FL",583443256
JorgeJLeyva,Huehuetlacatl,"Mexico, D. F. ",521639405
marthaltafrance,France M🤍,Tanzania,1381618702865604611
BENJIZEE,BENNIE,Worldwide 🌐,1425063696
blaslampa,Försäsong 🌹🎱r,Strandvägen,374251180
AntiPanikMacher,Chris,,2364159092
RadioPumas2,Radio Pumas,,1461146133409980420
Roozaay1,✨🔥,Space ,965652852784943104
Superstadt,Sabine Pollak,Vienna and Linz/Austria,199007394
MineHerrjeh,Mine *Contenance ist aus,,756579190237982720
firechick1555,Dorra,,566031597
jouissanceman,Jouissance Man,,1339463749623754752
HIlliberalism,Hater of illiberalism,,1346993838519250945
ZiarulAmprenta,Ziarul Amprenta,,956935233735151617
Deezy1,Deanna,New York,30684486
RypleyLane,Rypley Lane,"Indianapolis, IN",1359247742783152139
Tuauana_,Tuawizzy In The Hizzy💫,Global Citizen,1109410505691750400
cojagasrod7471,gasrod,Francia,727784509123526656
Bumn_Mojo_Hebat,BUMN MOJO HEBAT,,1440480960017944579
seattletimes,The Seattle Times,"Seattle, WA",14352556
Marplesmarbles,Marplesmarbles,In the Dear Green Place,64450084
Leslieoqvist,Leslie Öqvist,"Vaxholm, Sverige",736494361949659136
DailyPostNGR,Daily Post Nigeria,Nigeria,413428207
JustCatbug,Just call me CatBug,,1218064354454704128
medicalfreedom0,Lewis,,1464315527028154368
mehramedia,Mehra Media™,Patiala,91301690
garyman130,Gary,,1446775501381464072
MRigii,Muchai Rigii,,895925206287618048
GlobalPHObserv,Global Health Observ,Baltimore MD USA,2565865626
Osiwahn,Osiwahn,"CH, Bodensee",532912995
latimessports,L.A. Times Sports,"Los Angeles, CA",10222282
BENJIZEE,BENNIE,Worldwide 🌐,1425063696
PalmeiroRicardo,Ricardo Palmeiro,Bilbao - Euskal Herria,3318757372
cathypenflams,Cathy Penflam’s ⚽️🍺🥨,"Alsace, France",2618220635
PiyopayoP,みつりんご。,,1159212206367494144
Agy400,ÁGY,,1285937157010526209
hans_denkt,Hans im #HomoOffice,Coronairrenhaus,3187770189
JordyMaxDJ,🖖 🖖 🖖,Vía Láctea (sin lactosa),589386189
njoyflyfishing,Nathan Joyner,"Los Angeles, CA",3219670842
walerikus,Valerios Baglaridis,Ελλάς,2445811519
MAN22NYC,Mike,,1440714811185106955
lynn1219,Lynn Beckman,"New Jersey, USA",41109486
Josefan08020440,NoPopulismo,,1372240275599454208
davidnespanol,Chris P. Bacon,'Merica!  Veteran🐸 /🇺🇸/M.E.,2516417977
TipoNomeForma,0,"London, England",1417503189943922693
DetakKampar,Detak Kampar,Bangkinang - Kampar - Riau ,2339064320
Alexitosaurio,Alex Daniel,,965347972119777281
newsclickngr,Newsclickng,Nigeria,924250312877232129
_qbhatti,Qamar Afzaal Bhatti,"Lahore, Pakistan",1142770687679111168
Swethasubharaj,Swetha Subharaj,,1256913113095364615
Chirp_NAH_Sitto,SITTO,Indonesian,1173626760
JackieO1967,Jackie O,,1437812604324384774
bexter081,bexter08,,1305228500291420160
proudpopa101,no one,Michigan USA,225959010
TheSaadKaiser,Saad Kaiser,,1325797692921044992
AndreaDan,Andrea Daniele,"Nueva Delhi, India",2915902453
DisnavPalembang,djpl_disnavpalembang,Kota Palembang,983911870728781824
wosinekp,Piotr Wosinek,Częstochowa,949670910
genelesur,GeneDuc,"Lille, Francia",2177826328
KC_Tariq,Tariq Chaudhry,"Kiel, Schleswig-Holstein, Germ",1673365596
emsfree21,Emer Freeman,,1461648784916627460
peterinprg,Peter in PRG🌍,"Prague, Czechia",450247292
dramolpawar,dr amol pawar,,376900844
kissyyftdt,brittᴴ misses h,harrys left dimple,982488600758505473
k_renee9,Renee K,,831704090690203648
scotchallenge,Scot Challenge,Scotland,217595364
BaswarajKodge1,Baswaraj Kodge,,1465922050313396228
AbsoluteIndNews,Absolute India,India,2154547153
Leoleo1133,Leoha,,896070457484492800
putramohdhanif,Mangkuk aYont,"Eastcoast, Trg.",93649211
cnnphilippines,CNN Philippines,Philippines,2811559122
crillmatic_,Super MF Crillain,North Carolina,15786957
Sima_Ondra,Ondřej Šimíček,Czech Rep.,1075665409
ricklevy67,"Au Purrr , Fully vaccinated",,927388044
MichaelALovett3,Michael A Lovett,,1053272553916121089
Mir24TV,Мир 24,,245307846
baDDANAMILK,bob♡,s/h • kyeobasket,1242593447745183744
juliaknowsjulia,juliabegetsjulia,,1454989444088487940
BruehlGeorg,new soviet man,"Bremen, Germany",1373307186617663491
JanakinathSahay,🇮🇳 जानकीनाथ सहाय 🇮🇳,Indraprastha & Prayagraj,17677908
kiwifruitjam,Samantha (Serial Man-Dater At Large) 🧐,,1455460462364004355
memberofbjp,Anil Brahmaniya (BJP),"Gujarat, India",320118449
phil_w888,Phil,The Wild West,739194785185964033
wirl4ufen4mok,Alleria 🇹🇷 𐱅𐰇𐰼𐰰,,1420482901184065537
_qbhatti,Qamar Afzaal Bhatti,"Lahore, Pakistan",1142770687679111168
lafey68,Laura Reineke,"Minnesota, USA",1083775470
pnationvibes,sungjun's girlfie🐻,Republic of Passion ,1427317287783047183
AArmyChiefStaff,GEN James C. McConvillle,,1465905062484619267
BenzoBo_,#LongLiveTheLEGENDS,Somewhere with Someone Mom,1963809313
CampbellNewman,Campbell Newman,"Queensland, Australia",531881411
obanaibi,vitóriaˢᶜᶜᵖ,Itaquera,1434641707522531328
mikelouth4,Mike_D'Lecturer!!,"Louth, Ireland",1384799254921809926
africansa,Paul Matthew,South Africa,170262944
phkule,Philippine Collegian,,91998614
siddhar56939156,Siddharth Shukla,"Gola Gokarannath, India",706885535306874880
alexsanjuan_MB,Alexandria Dennise San Juan,"Manila, Philippines ",882766710423420928
TheRadioTFI,Radio TFI (Home of The Taxi Stand Hour),"Queens, NY - Worldwide",4725957312
DAgathor,Dr Agathor,In a lab somewhere,1460318028856532994
CecotkaMarcin,Marcin Cecotka,,1366389651393687559
anaislucifer,Isabellebb,,1070757110445760512
JonesRj1200,Rich Nolan,"Arkansas, USA",2235172827
BytesOdisha,Odisha Bytes News,,1147745761930539008
HustlingBurrito,HustlingBurrito,"Los Angeles, CA",1268061134021521414
valhalla4119,πμ,New Delhi,335475215
queenolabis,Area Mama 1 👑🚬🌍🌹,Moon,929729396042235909
steph13170,steph,,966359837314633728
_danieldrosa,Danni,"Santa Catarina, Brasil",1221972469386530818
_qbhatti,Qamar Afzaal Bhatti,"Lahore, Pakistan",1142770687679111168
stefaniamtzlpz,KSML,I❤️CDMX,88021638
RhiyaSingh2,Rhiya Singh,,1349670622331244545
hs47641,harpreet 1995,"Chandigarh, India",1652609936
DepokKoramil,KORAMIL DEPOK SLEMAN,,1367006483276128257
Truth2Freedom,Truth2Freedom,"Chicago, Illinois USA",17309068
Harpree09398061,Daily Khabar,Chandigarh,1413417577997471744
OurnaijanewsC,ournaijanews.com,Nigeria,1282615778664001538
akbarth3great,Umair A. ,Cloud ☁️,1643123766
newspatrol_ph,News Patrol,Philippines,973930746371977217
Foreign15523051,Foreigner,,1143856342278557697
mindofshayla,Shayla Caldwell,"Citrus Heights, CA",2222783269
Muskaan41309541,Muskaan Ahmed,,1450537361868148736
cmpatel331,C M Patel,India,798177452237258752
upsetcitizyn,🏳️‍🌈Green🇯🇲Lantern🇨🇻,Moby Dick’s Blowhole 🐳,1412515775211057153
akbarth3great,Umair A. ,Cloud ☁️,1643123766
AADKPontian,AADKPontian,Malaysia,867698442
Romagialloross4,Romagiallorossa.it,Roma,1417417027690680333
BellaBee311,Ann Mitchell,"Illinois, USA",55018833
TheRadioTFI,Radio TFI (Home of The Taxi Stand Hour),"Queens, NY - Worldwide",4725957312
MartinaSisters,MartinaSisters,"País Vasco, España",1718525334
MarkZhong1,FerroAlloyNet,China,1850130090
watchdogug,Watchdog Uganda,Uganda,3532770496
Schnrub1,Schnrub,"Chicago, IL",1411119931672842240
DearElementary,Dear Elementary,,804830508073054208
us_news_com,U-S-NEWS.COM,New York,1260307716385443840
wsbgnl,wsbgnl,Seattle,1143908639876485120
Lazarus80000,Lazarus,,1232260413603172352
RoneshaLuv,Neesh 💗,,1302860728429355014
FenrirWolf26,Fenrir Wolf,The Moon,1015802182053056512
thecableng,TheCable,Nigeria,1954402777
Draavtizs___,🇺🇸🇨🇦🇻🇦Fetty!¡!¡!,,1461806324723945472
NBCNews,NBC News,"New York, NY",14173315
KETV,KETV NewsWatch 7,"Omaha, Nebraska",19098792
edpbusiness,EDP Business,Norwich,84567586
jazzyjen1986,Jazzyjen1986,"Manchester, England",1376511242
realTuckFrumper,#TuckFrump,Witness Protection,55060090
Mounika41303735,Mounika,,1281916356460310528
AnneHotkek,Aɳɳҽ 🧶,Outside,759156836088111104
NZStuff,Stuff,New Zealand,15577108
Barbara18760525,Barbara Allen,,1102281363179356160
Optimist231,Optimist,,1429556638617415683
sameepshastri,Sameep Shastri 🇮🇳,India,44698675
IIDIncubator,Institute for Industrial Development,"Nueva Delhi, India",4565041033
YouthWaveMalawi,YouthWaveMalawi,"Area 15, Lilongwe",1144233075129442304
YaH_Ziimi,✨SeBhÃ,Guadeloupe,842447594
eyang_kidal,Eyang Kidal,,1389749257461063681
medianesiaid,Medianesia Maju Nugroho,"Batam, Kepulauan Riau",1422104049927680007
lieutenant780,Great Negro Fire Lieutenant,,1336449309416550401
eldiarioes,elDiario.es,,535707261
Bellagilboss,Bella,,1434806637974343681
damchUdgir,"DAMCH, Udgir","Udgir, Maharashtra",3129294511
ichonoclast1,Ichonoclast1,,3358152051
MN_John816,John Hoffman,,1447219823444996096
mrP2050,mrP🇬🇷,Violator & Deleter of fakes,3049361079
EsNaucalpan,Naucalpan Es Mas,,1251213364375797763
TNDigest,Travel News Digest,India,366541389
DZMMTeleRadyo,DZMM TeleRadyo,"ABS-CBN, Diliman, Quezon City",92174767
LagatarEnglish,Lagatar English,Ranchi,1422377345315344385
space_aces,🪐🐻,,1258508065613070337
SerdatTebim,Serdat Tebim,,1305756250936946688
TheHandLab,Dr Nick Holmes 💚🌶💉💉,"Little Britain, Airstrip One",3021293616
mjoyourself,Maia Wiitala,"San Francisco, CA",1119332385936461824
ElOpressor90,Opressor Occidental🇦🇷,Tomando Mate🧉,1129608013671747584
gill_mcmeechan,gilrocks🏴󠁧󠁢󠁳󠁣󠁴󠁿,Scotland,1371080990643347458
CYBERDRAGONBETA,🐲DJ CYBER THE DROLF🐺🎧🎶 CEO OF FURRY RAVES,"Cyber City, Anitopia",2207758603
RussMurphy,Russ Murphy,,1450485378180268036
schwinn3,Steven Gussman,,117845640
drbrignall,"Matthew Brignall, ND","Seattle, WA",232452461
telematin,Telematin,"Paris, France",301317246
Milea_liaa6,Milea,,1464577356996227076
climateguardian,David Dunn #Climate #crisis #UBI,manningtree essex uk,77537857
Julio578858851,Julio,,1446539948543332356
Jack40070238,Jack,,1384656670467321862
CeallaighKelly,Kelly_ó_Ceallaigh,,1449095118955352064
jobpings,Breaking news every hour - Follow us,Amsterdam,1427513309360795675
MoH_Ukraine,Ministry of Health of Ukraine,Київ,846313357514854400
gem_gza,GzaGza,UK,701550113
pilabdev,Pi Lab,,1144784409951985664
rdga2,rödöga,,433424202
DavidBurton1971,David Burton ⭐️⭐️,"City of London, England",4187168613
NOAFD2021,AFD-Schlagzeilen,"Berlin, Deutschland",1380783107591315459
amcelha3,Ashley phillips,"Georgia, USA",2976745901
nombonisogasa,Nomboniso Gasa,"Johannesburg, South Africa",801600812
MirageNewsCom,Mirage News,Australia,3149729430
AwesomeScoop,AwesomeScoop,"Nueva Delhi, India",1111170193437396992
DianaDeeJarvis,Diana Dee Jarvis,,1532509842
Shanuverma405,CINE SPORTS,,1440974939691966468
Cannaterra7,the lonely mental patient echos1234567,,1147129760406835200
Ogichidaa_,Ω̷𝚐𝚒𝚌𝚑𝚒𝚍𝚊𝚊 𝚅𝚊𝚛𝚒𝚊𝚗𝚝,Y’allhalla,1348308045588275200
Francis91087076,Francis Montana,,1427236309853249538
real_GGoswami,Gautam Goswami,Australia,1058223239606878208
ilse_8,♎,,1043980262
100x100Confide,100% Confidencial,Venezuela,1594035846
BartosVl,Vladimír Bartoš,,747847130883231744
TamukaKagoro77,Brian Tamuka Kagoro,Africa,57595007
ChristinVoniati,CHRISTINA VONIATIS,"Nicosia, Cyprus",17420365
ClareD2015,ClareD,"Houston, TX",1319084402253697025
jay_james84,99%problems 🌹🌎☮️✊🦖🦕,'Precariatly Situated',2515866923
shawry_ozspurs,shawry ozspurs,"Newcastle, NSW, Australia",467275626
mychinapress,马来西亚中国报,"Malaysia, Kuala Lumpur",82299136
Leeekz_22,Leeky Leekz,CLE,35503667
QwentCFC,Clent,,1141481433753673728
wrimo14,Wrimo14,,1359111138
DTochinskiy,Daniel Tochinskiy,Central Florida,26123893
_Fattiie,Sofiya,Planet almost devoid of banana,2148574319
ArweaveAPI,Stock News,Ohio,1255431693118386179
Faizi99884013,FAIZI 💧,"Lahore, Pakistan",1102566866185269248
Dooniteddotin,Doonited.India,,967017170524717056
PhonicsMom,Elizabeth Brown,United States,780262634897551360
d_nauseam,l-L_-p,,4279959814
jobpings,Breaking news every hour - Follow us,Amsterdam,1427513309360795675
TomCBerger,Tom Berger,"Bern, Schweiz",832888032843935745
janakbhagat,janakbhagat,"Mumbai,India",17732402
AKawamya,Ackim@fiz,"Cape Town, South Africa",1247637468939255809
YuriHiranuma,Yuri Hiranuma,"Portland, Oregon  U.S.A.",447735174
peri_periasamy,Periasamy M,"Coimbatore, India.",922801464103145477
AmandaBottoms4,Federal Skilled Worker - Outland,,1384697884793135107
mediotiempo,MedioTiempo,México,14390187
AllerEchter,Der Allerechte,,1450055153671884800
BILLENNIUM75,BILLENNIUM 🎹🖥📲🥷🏿,Paris France,3109053964
mlagro_allcaps,Light Lawliet,,899326991257796610
gaspxrito,gaspaяiтo 🇪🇦,🇨🇵 x 🇪🇦,1218209208509829122
datfacepalmlife,Kara Hedge,,2371013118
nkosimpume,Mpumza,,1697102196
justourspace,☼,kang daniel world✨,4619760612
Bisniscom,Bisnis.com,"Jakarta, Indonesia",118646322
jennifer_su,Jennifer Su (Jen Su),"Johannesburg, South Africa",19194773
RealNews3362,Real News Network. Breaking News/Analysis 24/7/365,REAL NEWS NETWORK. INDIA. USA.,49140252
SomnathDatta24,Somnath Datta,,715711771802206208
dan4matic,"Dan,...your superstar Realtor","Lagos, Nigeria",180512191
bigkahu74616044,bigkahuna,"Houston, TX",1014295561397243904
