lang,tweet_id,possibly_sensitive,created_at,text,type,withheld.copyright,withheld.country_codes
en,1465794034287489033,False,2021-11-30T21:25:05.000Z,"see this is why a I should have watched black widow a long ass time ago, now the Yelena &amp; Hawkeye storyline makes sense",,,
en,1465794016428142596,False,2021-11-30T21:25:01.000Z,"@TheHamTweets I connect with this, and understand your perspective. I've come to know better than being cynical with these movies, but I do hold them to a standard that I feel is *minimal* given the big budgets &amp; ""all-out"" approach they sell.

Allowed me to forgive things about Black Widow. 👌🏼",replied_to,,
en,1465793605352792064,False,2021-11-30T21:23:23.000Z,"They called her the Black widow for a reason. Brewing poison an art she adored and the concoction on her nails was more than lethal. 

She bent over and pried the tome from his hand.

""You really shouldn't borrow things without asking. I'm quite selfish with my belongings."" 

-",replied_to,,
en,1465793537639739395,False,2021-11-30T21:23:07.000Z,Antman anytime black widow sits down https://t.co/csuKM8kNOX https://t.co/2YhgwAt0yl,quoted,,
en,1465793425295364096,False,2021-11-30T21:22:40.000Z,# Malia J - Smells Like Teen Spirit (Black Widow Soundtrack)#Cover에 홀리다 https://t.co/xnOxJkJN6i,,,
en,1465793222798680069,False,2021-11-30T21:21:52.000Z,imagine baroness vs black widow as a death battle cast episode https://t.co/xAiiY7cgmA,,,
und,1465793173305892866,False,2021-11-30T21:21:40.000Z,@Daryamayne تو وایب black widow رو میدی,replied_to,,
en,1465792985157754881,False,2021-11-30T21:20:55.000Z,"@tex35skillet @getFANDOM @ErikDavis Seeing my theatres compared to when black widow/shang chi/eternals, if any movie is gunna make a billion it’ll be this. Eternals for me on opening day, the screening was empty. But for spiderman I struggled to get seats for the first time since the start of the pandemic",replied_to,,
en,1465792959991930880,False,2021-11-30T21:20:49.000Z,@MrNiceGuy513 @Seedalicious @GailSimone @SkylerShuler @Great_Katzby @sumter_joshua @Bainst06 @Ceesnation @SuperSuitShow @PoCCulture @UpToTASK Black Widow LOL,replied_to,,
en,1465792461771444224,False,2021-11-30T21:18:50.000Z,https://t.co/7QLphbU0q7 Disney Boss Bob Chapek Dismisses Any Conflict With Bob Iger In ‘Black Widow’ Hybrid Release With Swipe At Scarlett Johansson’s Suit https://t.co/vQ7ba8WhDj,,,
en,1465792456373506056,False,2021-11-30T21:18:49.000Z,@hiddlestushie That time Loki made out with Black Widow’s mom,replied_to,,
en,1465792426782728202,False,2021-11-30T21:18:42.000Z,@616bvckynat why is this kelly’s black widow with stevie and fake james as family,replied_to,,
en,1465791918265102337,False,2021-11-30T21:16:41.000Z,"Hi I’m Caitlin and you’re watching me fail at motherhood 🍼 LIVE in 15 https://t.co/d8R0fCU3mO with more Sims 4 100 Black Widow Baby challenge  where I have too many babies and too many breakdowns. 
Come play with channel points to name babies and unalive the donors! https://t.co/KpEilrTs2l",,,
en,1465791869565161480,False,2021-11-30T21:16:29.000Z,#NowPlaying 6:33 - Black Widow ! Tune in right now ! #Rock #Metal #TheVoiceOfRock,,,
en,1465791775293988869,False,2021-11-30T21:16:06.000Z,@FictionRumble Black widow,replied_to,,
en,1465791581043277827,False,2021-11-30T21:15:20.000Z,When her expression slipped back into the black widow tho? So sexy of her https://t.co/YEHvkAvJb1,quoted,,
es,1465791232567758848,False,2021-11-30T21:13:57.000Z,"Recuerdo bien que yo fui a los 2 días que se estreno Endgame, A LOS 2 PUTOS DÍAS y ya tenía spoileada la muerte de Tony Stark, de Black Widow, de Thanos al principio, que una rata salvaba a Antman y que viajaban en el tiempo.",replied_to,,
en,1465790919286812672,False,2021-11-30T21:12:42.000Z,"Spider-Man the most hyped movie ever⁉️🕷 3M presale tickets were sold for $35M+. 

The record was previously held by Eternals &amp; Black Widow which roughly sold 150K tickets in 24 hours. 

Spider-Man’s '24 hours' sales outsold all the 2021 releases '24 hours' sales combined",,,
en,1465790691657887751,False,2021-11-30T21:11:48.000Z,"@GamingAge it is also available on the new Atari VCS - which gets MORE challenge modes.

The 2 player is where this game &amp; the newest release Black Widow Recharged really come to life- as you chase a score or challenge- you can revive your friend.

https://t.co/O4HSlGsXuP",,,
en,1465790373574234114,False,2021-11-30T21:10:32.000Z,need to rewatch black widow  https://t.co/5kDB6ZdDSF,,,
ja,1465790331556106242,False,2021-11-30T21:10:22.000Z,私はマウスがLogicool G502 Hero、キーボードがRazer Black Widowのオレンジ軸デス。,,,
en,1465790039749804039,False,2021-11-30T21:09:13.000Z,@J_T_Q_ @FMGaminggg @PlayAvengers Can you help me I need 2 People one black widow and the over mrs marvel,replied_to,,
en,1465789796920537095,False,2021-11-30T21:08:15.000Z,"I see the dandelions blowing in the wind.
You're a widow wearing an all black dress.
I see your tears running down your face.
You just want to go home and escape.
I'm not there to comfort you. 
I feel terrible leaving you like this.
I don't want you to.
Feel like you're alone...",,,
pt,1465789772572639243,False,2021-11-30T21:08:09.000Z,tinha uma menina que saiu na minha selfie na sessão de black widow skksksksk ícone,,,
en,1465789349329616898,False,2021-11-30T21:06:28.000Z,"Tony's Angels.

Black Widow (2016) https://t.co/2QdpZPMayW",,,
ja,1465789230882250756,False,2021-11-30T21:06:00.000Z,"おはようございます！
■平日英語翻訳（キベ解釈）
🌏The 74-year-old 'Black Widow' killer who murdered her lovers with cyanide
➡️74歳の'黒い瓶'が殺すのは誰 無駄が多かった彼女が共に愛すチャンニデ

Widow？窓じゃないし…画像的に瓶と判断。
murdereは無駄が多い人

https://t.co/BtQSegG814",,,
en,1465789007833571333,False,2021-11-30T21:05:07.000Z,black widow (netflix’s version) https://t.co/qIUxz7iktC,quoted,,
en,1465788989038899201,False,2021-11-30T21:05:02.000Z,@C_h_r_i_sXD @PlayAvengers With Hawkeye or Black Widow. :),replied_to,,
en,1465788706372075525,False,2021-11-30T21:03:55.000Z,"BLACK WIDOW itself is excellent, the perfect film for Natasha Romanoff's overdue spotlight. And in general, the MCU has done a lot of things right.

But holy FUCK did they botch this in pretty much every conceivable way.........

9/9",replied_to,,
en,1465788527178887175,False,2021-11-30T21:03:12.000Z,black widow natasha romanoff yelena belova ribs lorde disney sisters frozen anna elsa lilo &amp; stitch nani lilo tinkerbell secret of the wings tinkerbell periwinkle https://t.co/XrzqOTGmwG,,,
en,1465788498095624195,False,2021-11-30T21:03:05.000Z,"...where it’s barely remembered by the end of the film because everyone’s too busy mourning the snarky white guy. And whatever good will was engendered by announcing a Black Widow film was drained away by making it clear that the character was dead and gone.

8/",replied_to,,
nl,1465788469687558145,False,2021-11-30T21:02:58.000Z,also ik heb weer eens iets gezien waar ik aan blijf denken dus na m’n black widow pak ga ik nu dit doen reken maar van yes dat ik een HP boek aan het transformen ben imma keep y’all updated https://t.co/axFpYAXiyf,quoted,,
en,1465788327882379267,False,2021-11-30T21:02:25.000Z,@periuspb Did you see Black Widow? Ray Winstone trying to a Russian accent and sliding back into his own halfway through every sentence is incredible,replied_to,,
en,1465788319552487437,False,2021-11-30T21:02:23.000Z,"Then they finally announce a Black Widow movie for 2020 right before AVENGERS: ENDGAME came out, and then the latter movie was released and had the Black Widow being killed. 

6/",replied_to,,
en,1465788268310532098,False,2021-11-30T21:02:10.000Z,@RavenRxh @IGN That practice is what killed Black Widow...,replied_to,,
en,1465788226355011598,False,2021-11-30T21:02:00.000Z,Black Widow is AWFUL | Marvel's Second-Worst Movie https://t.co/DvYDHgqm5s via @YouTube,,,
en,1465788219610513409,False,2021-11-30T21:01:59.000Z,"Eventually, the MCU mixed things up, giving us BLADCK PANTHER and CAPTAIN MARVEL, and meanwhile, we’re wondering why all these other Avengers get to have solo films and nothing for the Black Widow.

5/",replied_to,,
en,1465788130380980232,False,2021-11-30T21:01:37.000Z,Black Widow Post Credit Scene (2021) https://t.co/rU3akt8VaB,,,
en,1465788116560719876,False,2021-11-30T21:01:34.000Z,@DiscussingFilm she should be guilty i would’ve pushed him off that cliff myself black widow deserved better,replied_to,,
en,1465788058591244291,False,2021-11-30T21:01:20.000Z,@DiscussingFilm Hawkeye sucks shit is gonna be as underwhelming as black widow take the lame super hero’s outta the mcu,replied_to,,
en,1465787796866613256,False,2021-11-30T21:00:18.000Z,IWC is the best place to get my Content! Visit my Store: https://t.co/MjWLMbtg9a,,,
en,1465787688385138692,False,2021-11-30T20:59:52.000Z,"Tomorrow will be my rewatch of BLACK WIDOW, a movie that was way too little, way too late. Herewith, a rant in several parts.....

Marvel starting out with white-guy heroes makes sense because most of their flagship heroes were created in the early 1960s. 

1/",,,
en,1465787132052660225,False,2021-11-30T20:57:39.000Z,aiza when she just watched black widow like yesterday,replied_to,,
en,1465787030948892674,False,2021-11-30T20:57:15.000Z,@pavitrapuniafa2 Shamita last dec 2020 me black widow web series kiya jiska imdb rating 7.3..also done kkk ssn 9 and one of the top 5 finalist..,replied_to,,
en,1465786925172809728,False,2021-11-30T20:56:50.000Z,Some one make one of those spray paint Rest In Peace hood T shirts with Black Widow or Ironman on it.,,,
en,1465786426361102343,False,2021-11-30T20:54:51.000Z,Black Widow baby https://t.co/4D5FRI9AsX,,,
en,1465786389543325696,False,2021-11-30T20:54:42.000Z,@MrTentacles01 @The_Bytemaster @Mr_Red18k @alexisamenace except the whole premise of black widow was the red room and it's dark history of exploiting young women to becoming mindless killing machines.,replied_to,,
es,1465785894338809867,False,2021-11-30T20:52:44.000Z,En serio están comparando Spider-Man con Black Widow Zzzzzzzz? https://t.co/AwIwurJKmh,quoted,,
en,1465785716525481993,False,2021-11-30T20:52:02.000Z,"// endgame &amp; black widow spoilers

Watching black widow was such a bittersweet experience. Knowing Natasha is dead made every single one of her moments on screen that much more emotional. Learning about her beginnings while already knowing her end was painful, but at the same +",,,
en,1465785391995305988,False,2021-11-30T20:50:45.000Z,watched black widow! quite liked it!! it was more on the serious side which i loved as well. so happy nat finally got her own movie,,,
en,1465785218116341765,False,2021-11-30T20:50:03.000Z,"@Blackmoor_Film For a minute I thought you were in Britain and I thought that's a big false black widow, then I read this tweet. You did well not to fling it across the room in shock.",replied_to,,
und,1465785194594643975,False,2021-11-30T20:49:58.000Z,https://t.co/JWqolcuVd4,,,
es,1465785181466411020,False,2021-11-30T20:49:54.000Z,@JuanitoSay Está entre Wanda y Black Widow...,replied_to,,
en,1465784485677613061,False,2021-11-30T20:47:09.000Z,"Marvel PANIC! Disney Plus Day DISASTER | Eternals, Black Widow, and Shan... https://t.co/e9JUqtQOf4 via @YouTube",,,
en,1465784484561702914,False,2021-11-30T20:47:08.000Z,"Man, #SpiderManNowWayHome is about to make all the money. Biggest Fandango presales since Endgame.

Beat Infinity War, Star Wars: Episode VIII, &amp; Star Wars: Episode IX in same timeframe.

In 2 hours, #NoWayHome  topped Black Widow's 24 hour ticket sales. #FilmTwitter https://t.co/0OUkNJqD5m",,,
en,1465784165635395591,False,2021-11-30T20:45:52.000Z,"CAN THEY PLAY ANY CAPTAIN AMERICA MOVIE ALREADY?
OR BLACK WIDOW EVEN?",,,
en,1465784133586620417,False,2021-11-30T20:45:45.000Z,"Man, #SpiderManNowWayHome is about to make all the money. Biggest Fandango presales since Endgame.

Beat Infinity War, Star Wars: Episode VIII, &amp; Star Wars: Episode IX in same timeframe.

In 2 hours, #NoWayHome  topped Black Widow's 24 hour ticket sale

https://t.co/wzUdFuhNLX https://t.co/xSErln5HQk",,,
en,1465783717230780429,True,2021-11-30T20:44:05.000Z,Black Widow spider https://t.co/Mn8vMvy1H1,,,
pl,1465783667003908097,False,2021-11-30T20:43:53.000Z,NIE BO TIKTOK MI ORZYPOMNIAL BLACK WIDOW ALE BEDE NAPIERDALAC TERAZ IM GONNA LOVE YOU UNTIL YOU HATE ME,,,
es,1465783190954684418,False,2021-11-30T20:42:00.000Z,"@itsybitspyder 

     📱: Black Widow

💬: Deberíamos tener una cita, señorita. 

💬: ¡Creo que tenemos mucho en común!

📷: https://t.co/SovmOfatAE",replied_to,,
en,1465782940021964800,False,2021-11-30T20:41:00.000Z,Black widow #MODELOYELMARIANA,,,
en,1465782431437533190,False,2021-11-30T20:38:59.000Z,@kissubie @SicK_cs Male black widow,replied_to,,
en,1465782340500828160,False,2021-11-30T20:38:37.000Z,@oOonikiskioOo Black widow,replied_to,,
en,1465782196908744705,False,2021-11-30T20:38:03.000Z,Also What episode does Yelena Black widow sister show up in?,,,
en,1465782174322503686,False,2021-11-30T20:37:57.000Z,"@MelanieMoore See, I could *get* going to smaller releases a few weeks in. (That's what I did for Halloween Kills).

But to release a huge movie that's going to pack theaters with no other way to see it is bad.

Say what you will Black Widow does not have the draw Spider-Man does.....",replied_to,,
en,1465782115619020811,False,2021-11-30T20:37:43.000Z,"Finally got around to watching Black Widow, definitely disappointed at how little plot there was between the stunt scenes. Johansson and Pugh are good actresses and deserved better.",,,
es,1465782072224665612,False,2021-11-30T20:37:33.000Z,@Elian_zambra @gusgusryuk @GeekZoneGZ Black widow es un personaje tan secundario y poco importante  como para llegar a compararlo que unos de los superhéroes más famosos de todos los tiempos xd,replied_to,,
es,1465781968617021451,False,2021-11-30T20:37:08.000Z,"¡Peligra el estreno en China de Venom: Let There Be Carnage!

La película se sumaría a las últimas películas Marvel que no se están estrenando, como Shang-Chi y Black Widow.

Se rumorea que puede ser por dos entrevistas, supuestamente 'anti-China', que Tom Hardy dio en 2012. https://t.co/LAzoiyqyDF",,,
es,1465781834428653568,False,2021-11-30T20:36:36.000Z,"'SPIDER-MAN NO WAY HOME' rompe todos los records post-pandemia vendiendo 3 millones de entradas en menos de 24 horas.

Como ejemplo, 'ETERNALS' y 'BLACK WIDOW' vendieron 150 mil entradas. https://t.co/HguHhNcqGu",,,
en,1465781663594520577,False,2021-11-30T20:35:56.000Z,"BLACK WIDOW 2010, ISSUE FIVE https://t.co/z7eeKIF6Kr",,,
en,1465781658234372105,False,2021-11-30T20:35:54.000Z,"Not the biggest black widow I've ever seen, but they can really pack a punch if you get bit.

Another shot of her.

I do love spiders. https://t.co/4qNkdJbZjM",replied_to,,
en,1465781473106087941,False,2021-11-30T20:35:10.000Z,I think Black Widow is my favorite movie now🙃.,,,
en,1465781401534582785,False,2021-11-30T20:34:53.000Z,"i'm gonna love you like a black widow, baby",,,
pt,1465781347071504384,False,2021-11-30T20:34:40.000Z,@obiwangeI impactou mais que o filme todo de black widow,replied_to,,
pl,1465781329019252747,False,2021-11-30T20:34:36.000Z,@oopswika Ma zamknięty wątek. Już i tak w Black Widow musieli mocno się starać żeby cokolwiek do niego dodać,replied_to,,
und,1465781229790253060,False,2021-11-30T20:34:12.000Z,https://t.co/9YsA0pUJzu #Gucci #PatriziaRegianni,,,
pl,1465780822103965698,False,2021-11-30T20:32:35.000Z,"@oopswika Black Widow 2 i 3 z Yeleną w roli głównej git 
z Natashą? W życiu",replied_to,,
en,1465780266740371464,False,2021-11-30T20:30:23.000Z,Black Widow (but not in her solo movie) https://t.co/VpcpDWAyM6,quoted,,
fr,1465779934136258567,False,2021-11-30T20:29:03.000Z,@EggoYaZa Ma préférée c'est la black widow man,replied_to,,
en,1465779913546416130,False,2021-11-30T20:28:58.000Z,"china banned black widow, shang-chi, eternals and now venom they're really looking for excuses to not release movies there what's up with that 😭 https://t.co/3dUK2DJyI1",quoted,,
en,1465779683497152517,False,2021-11-30T20:28:04.000Z,"BLACK WIDOW: THE THINGS THEY SAY ABOUT HER 2005, ISSUE 1 https://t.co/nIYJ9WX8z2",,,
fr,1465779597912461313,False,2021-11-30T20:27:43.000Z,Après Black Widow est dead aussi... Sauf si ils utilisent la douille de What if pour la faire revenir https://t.co/oA7UcWXLPZ,replied_to,,
in,1465779201454260236,False,2021-11-30T20:26:09.000Z,@sofritofan si cb tu eres black widow,replied_to,,
en,1465778954825089025,False,2021-11-30T20:25:10.000Z,"I’ve found both black widows and brown recluses in my house before and they’re actually really fucking every, but this was for sure 100% a false widow but I",replied_to,,
en,1465778953734533125,False,2021-11-30T20:25:10.000Z,"It had the widow shape but it wasn’t black but I was like,, “im not taking the risk” LMCSKKC I was actually shaking",replied_to,,
ca,1465778939264131079,False,2021-11-30T20:25:06.000Z,"امانه ما دقستو 
Hello they shoot spider man today 

IronMan
The Incredible Hulk
Thor
Captain America
Black Widow
Doctor Strange https://t.co/vXAxdLdep4",,,
es,1465778852924432394,False,2021-11-30T20:24:46.000Z,"🎟️ A 24 HORAS
De su preventa 🌏

° En 2 horas la película que más vendió y recaudo en el 2021, superando a Black Widow.

° La 2° en la historia del UCM en ese tiempo, por detrás de #Endgame.

° Se reporta más de 35 MDD hasta el momento. https://t.co/My9ywppPEr",,,
en,1465778827779575808,False,2021-11-30T20:24:40.000Z,"@los4wordz I’m not surprised, Black Widow and him are both BASIC lol",replied_to,,
en,1465778654307184642,False,2021-11-30T20:23:58.000Z,"@nathaliejacoby1 Right now, Black Widow. But mostly Aliens. I have the extended version and it's so cool.",replied_to,,
en,1465778608883048450,False,2021-11-30T20:23:47.000Z,@PenielYurii Men that beat up women are cowards unless she can fight like black widow,replied_to,,
fr,1465778478075285506,False,2021-11-30T20:23:16.000Z,@CPariiiis @LouuLouu75 Oui je sait que tu peux pas résister à Black Widow,replied_to,,
en,1465778219311845387,False,2021-11-30T20:22:14.000Z,"The secret of the Black Widow 
by Angelo Bandiziol 

Get your copy on #kindle or in #paperback!

https://t.co/DKmtLVhtbb

https://t.co/0DJ7GqtqE0

#murder #mystery #suspense #crime #love #giftideas #book #ReaderStore",,,
en,1465777872409223170,False,2021-11-30T20:20:52.000Z,"attributes that sometimes make you think he just might be guilty) legit hustler (he promotes sports and well anything that will make him money).  Like with Black Widow, we have flashbacks throughout.  Like with Black Widow, and many of Hitchcock, we have a Wrong Man scenario.",replied_to,,
en,1465777870811250690,False,2021-11-30T20:20:51.000Z,"she is an up-and-comer (though not with the psychology of Nancy).  She also appears to have a hidden lover.  The one accused of her murder, like with Van Heflin in Black Widow) is Frankie Christopher (Victor Mature), a more wisecracking, sarcastic, street smart (and it is these",replied_to,,
en,1465777869074796547,False,2021-11-30T20:20:51.000Z,"The movie’s plot is a strong point.  It has some similarities to Black Widow (1954).  I like how you do not know who exactly is the killer. Like with Black Widow, we have a murder most foul of a young blonde female Vicky Lynn (Carole Landis).  Like with 'Nanny' Ordway,",replied_to,,
it,1465777820400078854,False,2021-11-30T20:20:39.000Z,Ho trovato anche Prompto che ruba le pose di Black Widow https://t.co/qvE6ZLReY2,replied_to,,
en,1465777640678305794,False,2021-11-30T20:19:57.000Z,I adore black widow movie and everyone and their mom knows at this point but I also kinda wish it hadn't been made mainly to introduce yelena to the mcu instead of just giving natasha the full spotlight she never got,,,
it,1465777294501310465,False,2021-11-30T20:18:34.000Z,🎥📺🎭🍿🍿🍿🍿  Le prevendite di Spider-Man: No Way Home hanno battuto quelle di Avengers: Endgame https://t.co/5Z4glWcngp @ScreenWEEK #film #cinema #serietv https://t.co/E3wTWsdzc5,,,
en,1465776704107040769,False,2021-11-30T20:16:13.000Z,My dad may call me a whore when I wear tank tops or shorts but he does know how to give me an amazing compliment: telling me Yelena from black widow (which he has seen four times now apparently??) is just me in a different font,,,
en,1465776628215136261,False,2021-11-30T20:15:55.000Z,@danirat I'm going with black widow. It's a really good movie that people were wanting something else instead of focusing on what was on the screen.,replied_to,,
en,1465776601321385985,False,2021-11-30T20:15:49.000Z,"Gonna be honest, Black Widow really doesn’t hold up to a re-watch.",,,
en,1465776190589849603,False,2021-11-30T20:14:11.000Z,@ScienceBotikus I had no idea about this:  Female black widow spiders eat the males after mating. @ScienceBotikus,replied_to,,
en,1465776004476162060,False,2021-11-30T20:13:26.000Z,@MusicCityNerd The only good part is his sister's black widow,replied_to,,
en,1465775925379936260,False,2021-11-30T20:13:08.000Z,Correction 7.1 ITU-R has Black Widow sounding like magic,,,
en,1465775662803963910,False,2021-11-30T20:12:05.000Z,All the women in Black widow are so hot. Damn,,,
en,1465775649625448450,False,2021-11-30T20:12:02.000Z,"Dune, Quiet Place 2, Shang-Chi, No Time to Die, Black Widow, Godzilla vs Kong, Free Guy, Venom 2, Eternals, Fast 9 and I haven’t seen Jungle Cruise yet. https://t.co/cANktUdUFT",quoted,,
en,1465775566007721986,False,2021-11-30T20:11:42.000Z,"@WW_Jessica84 @EARTH_1610_616 It's actually mentioned in an audio log about how Peter thought about calling himself ""Black Widow Man"" lmao",replied_to,,
es,1465775415230754816,False,2021-11-30T20:11:06.000Z,@gabyyy_1201 Yo kiero saber si el chasquido de thanos afecto a yelena ya que el final de black widow es antes de infinity world y los post créditos son después de endgame,replied_to,,
en,1465775321022705671,False,2021-11-30T20:10:43.000Z,@mws Black widow,replied_to,,
und,1465775080936407043,False,2021-11-30T20:09:46.000Z,https://t.co/exjigeB6Qi,,,
en,1465774875008811015,False,2021-11-30T20:08:57.000Z,"Dune, Quiet Place 2, Shang-Chi, Venom 2, Godzilla vs Kong, Black Widow, Eternals, and I haven’t seen the rest. https://t.co/lxX8ttfw92",quoted,,
en,1465774779667988482,False,2021-11-30T20:08:34.000Z,"Wednesday at 1pm, @tordotcom will be doing the semi-annual reviving of ""4-Color to 35-Millimeter: The Great Superhero Movie Rewatch,"" looking back at the previous six months of live-action films adapting superhero comics. First up will be BLACK WIDOW. Here's a preview....... https://t.co/kgiLfz9mJX",,,
en,1465774672629354498,False,2021-11-30T20:08:09.000Z,@WW_Jessica84 “Black Widow Man” wtf,replied_to,,
it,1465774362414485506,False,2021-11-30T20:06:55.000Z,"3/4 di felicità: E' iniziato tutto dall'uscita di WandaVision e Black Widow poi, non mi ero mai appassionata al mondo Marvel ma più leggevo del vostro entusiasmo, più mi incuriosivano questi due personaggi 🕷️🔮 https://t.co/50gTzzy86G",replied_to,,
en,1465774342311194626,False,2021-11-30T20:06:50.000Z,Me watching Black Widow on my bus ride from school because I the movie in my gallery 😪 https://t.co/0xSdG9FlKR,,,
en,1465774172861345803,False,2021-11-30T20:06:10.000Z,@tintentante sabine und black widow👀,replied_to,,
en,1465774073577881600,False,2021-11-30T20:05:46.000Z,"This year?

Dune
Venom 2
Shang-Chi
Godzilla vs Kong
Eternals
Black Widow

...and i have not seen the rest, but want to. https://t.co/IzfPp4dH0q",quoted,,
en,1465774022453600259,False,2021-11-30T20:05:34.000Z,"Enjoy these truly crazy stories about the so-called Black Widow, Patrizia Reggiani. https://t.co/mL4R6etAXF",,,
en,1465773824629264387,False,2021-11-30T20:04:47.000Z,"1. No Time to Die
2. Dune
3. Shang-Chi
4. A Quiet Place II
5. Free Guy
6. Eternals
7. Godzilla v Kong
8. Black Widow
9. Jungle Cruise
10. Venom 2
11. F9 https://t.co/YudVnTciMj",quoted,,
en,1465773704697114628,False,2021-11-30T20:04:18.000Z,@ScienceBotikus I had no idea about this:  Female black widow spiders eat the males after mating. @ScienceBotikus,replied_to,,
en,1465773481845530628,False,2021-11-30T20:03:25.000Z,"@melissarobbins_ How are you feeling about Black Widow??? I just watched it and as much as I want to cheer on female superhero leads, I felt this one...was corny? Like not good, ton of plot holes too",replied_to,,
en,1465773444398825479,False,2021-11-30T20:03:16.000Z,"#NoWayHome nets biggest Fandango presales in 24 hours since 'Endgame'

🔹The film also beat out 'Infinity War,' 'Star Wars: Episode VIII,' &amp; 'Star Wars: Episode IX' in the same timeframe

🔹In just 2 hours #SpiderMan topped 'Black Widow's 24 hour ticket sales 

(via @ErikDavis) https://t.co/MGJB60SzG3",,,
en,1465773351230586880,False,2021-11-30T20:02:54.000Z,".@Disney said it generated $933 million in revenue from the combined Premier Access transactions for Black Widow, Cruella, Jungle Cruise and Raya and the Last Dragon, in addition to 13 @ufc pay-per-view bouts on @ESPNPlus. Up 70% from prior year. https://t.co/uOlt9PkMnM",,,
es,1465773270117064712,False,2021-11-30T20:02:35.000Z,"Espero muchísimo #SpiderManNoWayHome

Pero Black Widow, Shang-Chi y Eternals han hecho más por la Representación, Diversidad e Inclusión que lo que podrá hacer Ni Way Home https://t.co/KmO8CdyZNR",quoted,,
fr,1465772996937846795,False,2021-11-30T20:01:29.000Z,on skip black widow vu que c’est pas sur les plateformes,,,
en,1465772704968200196,False,2021-11-30T20:00:20.000Z,@ReturnofR Black Widow,replied_to,,
en,1465772607471558665,False,2021-11-30T19:59:57.000Z,"@JoPaWrites @PlayAvengers Looks amazing! Someone who doesn't really use any of the flying characters, it's going to be fun. Mainly use Cap, Kate Bishop, Black Panther or Black Widow. The swinging looks good too.",replied_to,,
en,1465772595530371073,False,2021-11-30T19:59:54.000Z,"Black Widow, haha! https://t.co/CzleEsJV7R",quoted,,
en,1465772409462611971,False,2021-11-30T19:59:09.000Z,I keep forgetting Black Widow came out this year💀💀💀,,,
de,1465772335122821121,False,2021-11-30T19:58:52.000Z,"@MichSeif Klar. Ich schau das auch. Ich hab auch Falcon &amp; the most annoying Soldier geschaut. Da zieh ich auch das durch. Das sie die Ronin-Geschichte aufgreifen, finde ich ja tendenziell schon gut. Und hoffe auf ein Tie-in mit Black Widow.",replied_to,,
en,1465772317208940546,False,2021-11-30T19:58:47.000Z,"People need to stop acting like The MCU went downhill just cuz they made a few let downs like Elementals and Black Widow. They’ve also made some great ones like Shang Chi, Disney+ Series and No Way Home looks great
Y’all are just being nick picky",,,
en,1465772299110563851,False,2021-11-30T19:58:43.000Z,@yUnGhorny5 Black Widow 😈,replied_to,,
en,1465771888555311111,False,2021-11-30T19:57:05.000Z,@CatDoctor_ yes always slow burn is nice 😭but I am very bad to watch long drama but it's a nice show  I have a plan to watch other one and black widow and this actress  scarlett is charisma and pretty 😭 https://t.co/MAPxtjpUuh,replied_to,,
es,1465771678743543810,False,2021-11-30T19:56:15.000Z,"¡Este próximo sábado en Coruña!
SDI+ @toxikull+ Pro-fugu

Entradas online: https://t.co/8aokWMpxX8
Entradas físicas: Rock Box, Meliora, Black Widow y Sham Rock
#speedmetal #SDI #Coruña #MardiGras #Metal https://t.co/p8Mj6MbgEk",,,
es,1465771561865162752,False,2021-11-30T19:55:47.000Z,"The Falcon and the Winter Soldier, que a su vez me parece lo mejor de la Fase, seguido por Black Widow https://t.co/VemukJrOvg",quoted,,
en,1465771184713351175,False,2021-11-30T19:54:17.000Z,*insert that scene from black widow* https://t.co/RqjTfe1bn2,quoted,,
en,1465771160851947520,False,2021-11-30T19:54:12.000Z,"I’ll just diss it on social media but I think it’ll have major impact on how mcu films are looked at going forward. Black widow was a disappointment, Shang chi was good I’ve heard eternals is garbagio. https://t.co/0ZbOYlyD7V",quoted,,
en,1465771152207269894,False,2021-11-30T19:54:10.000Z,"[176] black widow (2021) dir. cate shortland
• rated: 1/5 https://t.co/REorwxKe68",replied_to,,
en,1465771137414139907,False,2021-11-30T19:54:06.000Z,@iobu7a black widow and captain america 😊❤,replied_to,,
it,1465770981654417426,False,2021-11-30T19:53:29.000Z,Bene ho deciso di farmi un rewatch di black widow perché si,,,
en,1465770725575323653,False,2021-11-30T19:52:28.000Z,@BiggBoss_Tak Please stop..#ShamitaShetty ka last web series Black Widow imdb rating 7.5..so yeah mat bolna uska kum nehi..and she is a top 5 finalist in kkk sn 9..,replied_to,,
en,1465770312050561024,False,2021-11-30T19:50:49.000Z,"not me crying watching literally any movie ever (black widow this time) but I’m here to open boxes and blast keys baby

🔴 L I V E 🔴 https://t.co/T6lLRW4iJz",,,
en,1465770201392181250,False,2021-11-30T19:50:23.000Z,I just published BLACK WIDOW (2) https://t.co/g2N9NJ3DMc #medium #drama #fiction,,,
en,1465770199743934474,False,2021-11-30T19:50:22.000Z,we are watching black widow. yelena is brilliant.,,,
en,1465770112192069646,False,2021-11-30T19:50:02.000Z,"@FilmCriticMaybe I've only seen four of these, so it'd be Shang-Chi, Free Guy, Black Widow and Jungle Cruise.",replied_to,,
fr,1465769808956428289,False,2021-11-30T19:48:49.000Z,Donc la j'ai téléchargé Black Widow et Shang Shi. J'ai matte 13mn36 Black Widow pour au final tout quitter et partir dormir? Ptet j'ai le covid jsais pas,,,
